순위,구단,위치,선수명,연봉,비고
1,롯데,내야수,이대호,250000,고졸
2,KIA,투수,양현종,230000,고졸
3,키움,내야수,박병호,200000,고졸
3,NC,포수,양의지,200000,고졸
3,롯데,외야수,손아섭,200000,고졸
6,KIA,외야수,최형우,150000,고졸
7,SK,포수,이재원,130000,고졸
7,LG,외야수,김현수,130000,고졸
9,삼성,포수,강민호,125000,고졸
9,롯데,외야수,민병헌,125000,고졸
11,SK,내야수,최  정,120000,고졸
11,KT,내야수,황재균,120000,고졸
11,삼성,투수,오승환,120000,
14,LG,투수,차우찬,100000,고졸
15,LG,외야수,박용택,80000,
15,한화,투수,정우람,80000,고졸
17,NC,내야수,박석민,70000,고졸
17,삼성,투수,우규민,70000,고졸
19,두산,내야수,김재호,65000,고졸
19,두산,외야수,김재환,65000,고졸
21,LG,내야수,오지환,60000,고졸
21,KIA,외야수,나지완,60000,
23,키움,내야수,김하성,55000,고졸
24,NC,내야수,박민우,52000,고졸
25,NC,외야수,나성범,50000,
25,KT,외야수,유한준,50000,
25,한화,내야수,김태균,50000,고졸
25,한화,내야수,이성열,50000,고졸
25,롯데,내야수,전준우,50000,
30,두산,내야수,허경민,48000,고졸
31,두산,투수,유희관,47000,
31,두산,내야수,오재일,47000,고졸
33,두산,외야수,박건우,45000,고졸
33,KIA,내야수,김선빈,45000,고졸
35,두산,투수,이용찬,42000,고졸
36,두산,투수,이현승,40000,
36,LG,내야수,김민성,40000,고졸
36,KT,내야수,박경수,40000,고졸
36,KIA,내야수,김주찬,40000,고졸
36,삼성,투수,윤성환,40000,
36,한화,외야수,이용규,40000,고졸
42,키움,외야수,이정후,39000,고졸
43,키움,투수,최원태,37000,고졸
44,키움,내야수,서건창,35000,고졸
44,SK,외야수,김강민,35000,고졸
44,LG,내야수,정근우,35000,
44,한화,투수,안영명,35000,고졸
48,두산,외야수,정수빈,34000,고졸
49,LG,외야수,채은성,32000,고졸
50,두산,투수,장원준,30000,고졸
50,두산,내야수,오재원,30000,
50,키움,투수,김상수,30000,고졸
50,키움,포수,이지영,30000,
50,SK,외야수,정의윤,30000,고졸
50,NC,내야수,모창민,30000,
50,삼성,내야수,이원석,30000,고졸
50,삼성,외야수,박해민,30000,
